brand,screen,procesor,RAM,Disk,Graphic Card,Operation System,Price(zł)
LENOVO,"15.6"", 1920 x 1080px, 60Hz",AMD Ryzen 5 4600H,8,512 GB SSD,NVIDIA GeForce GTX 1650 Ti,Brak,3.299
HP,"14"", 1366 x 768px",AMD A4-9120e,4,64 GB Flash,AMD Radeon R3,Windows 10 S (możliwość darmowej aktualizacji do Windows 11),1.499
DELL,"15.6"", 1920 x 1080px, 120Hz",Intel Core i5-11260H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,Windows 11 Home,4.499
HUAWEI,"16.1"", 1920 x 1080px, 60Hz",AMD Ryzen 5 4600H,16,512 GB SSD,AMD Radeon Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),3.999
APPLE,"13.3"", 2560 x 1600px, 60Hz",Apple M1,16,256 GB SSD,Apple M1 (7 rdzeni),macOS Big Sur,5.699
LENOVO,"17.3"", 1600 x 900px, 120Hz",AMD Athlon Silver 3050U,8,256 GB SSD,AMD Radeon Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),2.099
LENOVO,"15.6"", 1920 x 1080px",Intel Core i5-10210U,8,512 (256+256) GB SSD,Intel UHD Graphics,Windows 10 Professional (możliwość darmowej aktualizacji do Windows 11),2.949
LENOVO,"15.6"", 1920 x 1080px",Intel Core i5-1035G1,8,512 GB SSD,Intel UHD Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),2.799
LENOVO,"15.6"", 1920 x 1080px, 60Hz",Intel Core i5-11300H,16,512 GB SSD,NVIDIA GeForce RTX 3050,Brak,3.799
ASUS,"14"", 1920 x 1080px, 60Hz",Intel Core i5-1135G7,16,512 GB SSD,Intel Iris Xe Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),3.899
ASUS,"15.6"", 1920 x 1080px, 144Hz",Intel Core i5-11400H,16,512 GB SSD,NVIDIA GeForce RTX 3050,Brak,3.799
LENOVO,"15.6"", 1920 x 1080px, 60Hz",Intel Core i5-11300H,8,512 GB SSD,NVIDIA GeForce GTX 1650,Windows 11 Home,3.499
LENOVO,"15.6"", 1920 x 1080px, 60Hz",Intel Core i5-11300H,8,512 GB SSD,NVIDIA GeForce GTX 1650,Brak,3.099
LENOVO,"14"", 1920 x 1080px, 60Hz",Intel Core i7-1065G7,16,1000 GB SSD,Intel Iris Plus Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),3.533
HUAWEI,"14"", 2160 x 1440px, 60Hz",AMD Ryzen 5 4600H,8,512 GB SSD,AMD Radeon Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),2.999
APPLE,"16.2"", 3456 x 2234px, 120Hz",Apple M1 Pro,16,1000 GB SSD,Apple M1 Pro (16 rdzeni),macOS Monterey,14.013
ASUS,"15.6"", 1920 x 1080px, 60Hz",Intel Core i3-1115G4,8,512 GB SSD,Intel UHD Graphics,Windows 10 Home,2.499
ASUS,"14"", 1920 x 1080px, 60Hz",Intel Celeron N4020,4,128 GB Flash,Intel UHD Graphics 600,Windows 10 S (możliwość darmowej aktualizacji do Windows 11),1.299
LENOVO,"15.6"", 1920 x 1080px, 60Hz",Intel Core i5-1155G7,16,1000 GB SSD,Intel Iris Xe Graphics,Brak,3.099
DELL,"15.6"", 1920 x 1080px, 60Hz",Intel Core i3-1005G1,4,256 GB SSD,Intel UHD Graphics,Windows 10 S (możliwość darmowej aktualizacji do Windows 11),1.799
LENOVO,"14.1"", 1920 x 1080px",Intel Core i5-1035G4,16,512 GB SSD,Intel UHD Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),3.899
DELL,"13.3"", 3840 x 2160px, Ekran dotykowy, 60Hz",Intel Core i7-1165G7,16,512 GB SSD,Intel Iris Xe Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),4.599
ACER,"17.3"", 1920 x 1080px, 144Hz",Intel Core i5-11400H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),5.999
LENOVO,"17.3"", 1600 x 900px, 60Hz",Intel Core i3-1115G4,8,256 GB SSD,Intel UHD Graphics,Windows 10 Home,2.199
HP,"16.1"", 1920 x 1080px, 144Hz",Intel Core i7-11800H,32,1000 GB SSD,NVIDIA GeForce RTX 3070,Windows 10 Home,9.199
LENOVO,"14"", 1920 x 1080px",AMD A6-9220e,4,256 GB SSD,AMD Radeon R4,Windows 10 S,2.099
LENOVO,"15.6"", 1920 x 1080px, 120Hz",AMD Ryzen 5 5600H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,Brak,4.199
ACER,"15.6"", 1920 x 1080px",Intel Core i5-10300H,8,512 GB SSD,NVIDIA GeForce RTX 2060,Brak,4.399
LENOVO,"15.6"", 1920 x 1080px, 120Hz",AMD Ryzen 7 4800H,8,512 GB SSD,NVIDIA GeForce GTX 1650 Ti,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),4.549
LENOVO,"14"", 1920 x 1080px",Intel Core i5-1035G1,8,256 GB SSD,Intel UHD Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),3.399
LENOVO,"17.3"", 1920 x 1080px, 144Hz",AMD Ryzen 7 5800H,16,512 GB SSD,NVIDIA GeForce RTX 3050,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),5.399
ACER,"15.6"", 1920 x 1080px, 144Hz",Intel Core i5-10300H,8,512 GB SSD,NVIDIA GeForce GTX 1650 Ti,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),3.799
HP,"15.6"", 1920 x 1080px, Ekran dotykowy, 60Hz",AMD Ryzen 5 4500U,16,512 GB SSD,AMD Radeon Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),3.949
HP,"15.6"", 1920 x 1080px, 60Hz",AMD Ryzen 5 5600H,16,512 GB SSD,NVIDIA GeForce GTX 1650,Brak,3.999
LENOVO,"15.6"", 1920 x 1080px, 120Hz",AMD Ryzen 7 4800H,16,512 GB SSD,NVIDIA GeForce GTX 1650 Ti,Brak,4.699
HP,"16.1"", 1920 x 1080px, 144Hz",AMD Ryzen 7 5800H,16,1000 GB SSD,NVIDIA GeForce RTX 3060,Brak,5.699
ASUS,"13.4"", 1920 x 1200px, Ekran dotykowy, 120Hz",AMD Ryzen 7 5800HS,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),6.999
ACER,"15.6"", 1920 x 1080px, 60Hz",Intel Core i5-10300H,8,512 GB SSD,NVIDIA GeForce GTX 1650,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),3.799
DYNABOOK,"14"", 1366 x 768px, 60Hz",Intel Celeron 5205U,4,128 GB SSD,Intel UHD Graphics,Windows 10 Professional,1.899
ACER,"14"", 1366 x 768px, 60Hz",Intel Celeron N4020,4,256 GB SSD,Intel UHD Graphics 600,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),1.599
MSI,"15.6"", 1920 x 1080px, 144Hz",Intel Core i5-11400H,8,512 GB SSD,NVIDIA GeForce RTX 3050,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),3.999
APPLE,"16.2"", 3456 x 2234px, 120Hz",Apple M1 Max,32,1000 GB SSD,Apple M1 Max (32 rdzenie),macOS Monterey,18.299
LENOVO,"17.3"", 1920 x 1080px, 144Hz",AMD Ryzen 5 5600H,8,512 GB SSD,NVIDIA GeForce RTX 3050,Brak,4.299
ASUS,"15.6"", 2560 x 1440px, 165Hz",AMD Ryzen 9 5900HX,16,512 GB SSD,AMD Radeon RX 6800M,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),7.999
LENOVO,"17.3"", 1920 x 1080px, 144Hz",AMD Ryzen 7 5800H,16,1000 GB SSD,NVIDIA GeForce RTX 3060,Brak,6.399
DELL,"13.3"", 1920 x 1080px, Ekran dotykowy, 60Hz",Intel Core i5-1135G7,8,512 GB SSD,Intel Iris Xe Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),4.499
LENOVO,"15.6"", 1920 x 1080px, 60Hz",Intel Core i3-1115G4,8,512 GB SSD,Intel UHD Graphics,Windows 11 Home S,2.399
LENOVO,"15.6"", 1920 x 1080px, 120Hz",AMD Ryzen 5 4600H,8,512 GB SSD,NVIDIA GeForce GTX 1650 Ti,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),3.999
APPLE,"13.3"", 2560 x 1600px, 60Hz",Apple M1,8,256 GB SSD,Apple M1 (7 rdzeni),macOS Big Sur,4.799
DELL,"16"", 3072 x 1920px, 60Hz",Intel Core i5-11400H,8,512 GB SSD,Intel UHD Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),5.099
HP,"15.6"", 1920 x 1080px, 60Hz",Intel Core i3-1115G4,8,256 GB SSD,Intel Iris Xe Graphics,Windows 10 Professional (możliwość darmowej aktualizacji do Windows 11),2.899
ASUS,"14"", 1920 x 1080px, 144Hz",AMD Ryzen 7 5800HS,16,512 GB SSD,NVIDIA GeForce RTX 3050,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),4.999
MICROSOFT,"10.5"", 1920 x 1280px, Ekran dotykowy, 60Hz",Intel Pentium Gold 6500Y,8,128 GB SSD,Intel UHD Graphics 615,Windows 11 Home S,3.199
ACER,"15.6"", 1920 x 1080px, 144Hz",Intel Core i7-11800H,16,1000 GB SSD,NVIDIA GeForce RTX 3060,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),6.599
DELL,"13.3"", 3840 x 2160px, 60Hz",Intel Core i7-1165G7,16,512 GB SSD,Intel Iris Xe Graphics,Windows 11 Professional,8.999
HP,"15.6"", 1920 x 1080px, 60Hz",AMD Ryzen 5 5500U,8,512 GB SSD,AMD Radeon Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),2.899
LENOVO,"17.3"", 1600 x 900px, 60Hz",AMD Ryzen 5 5500U,8,256 GB SSD,AMD Radeon Graphics,Windows 10 Home,2.599
DELL,"14"", 1920 x 1080px, Ekran dotykowy, 60Hz",Intel Core i7-1195G7,8,512 GB SSD,Intel Iris Xe Graphics,Windows 11 Professional,5.499
HP,"15.6"", 1920 x 1080px, Ekran dotykowy, 60Hz",Intel Core i5-1135G7,16,1000 GB SSD,NVIDIA GeForce MX450,Windows 10 Home,5.999
LENOVO,"15.6"", 1920 x 1080px, 60Hz",Intel Core i5-10210U,8,256 GB SSD,Intel UHD Graphics,Windows 10 Professional (możliwość darmowej aktualizacji do Windows 11),2.799
HP,"15.6"", 1920 x 1080px, 60Hz",AMD Ryzen 3 5300U,8,256 GB SSD,AMD Radeon Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),2.449
HP,"15.6"", 1920 x 1080px, 60Hz",AMD Ryzen 5 5500U,16,512 GB SSD,AMD Radeon Graphics,Brak,2.799
LENOVO,"14"", 1920 x 1080px, 60Hz",Intel Core i5-1035G1,8,512 (256+256) GB SSD,Intel UHD Graphics,Windows 10 Home,2.449
DELL,"13.3"", 1920 x 1080px, Ekran dotykowy, 60Hz",Intel Core i5-1135G7,8,512 GB SSD,Intel Iris Xe Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),4.199
DELL,"15.6"", 1920 x 1080px, 120Hz",Intel Core i5-10300H,8,512 GB SSD,NVIDIA GeForce GTX 1650 Ti,Linux,2.999
HP,"14"", 1366 x 768px, 60Hz",AMD Athlon Silver 3050U,4,256 GB SSD,AMD Radeon Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),1.999
ACER,"11.6"", 1366 x 768px, Dotykowy",Intel Celeron N4020,4,64 GB SSD,Intel UHD Graphics,Windows 10 S (możliwość darmowej aktualizacji do Windows 11),1.399
LENOVO,"15.6"", 1920 x 1080px, 120Hz",AMD Ryzen 5 4600H,8,512 GB SSD,NVIDIA GeForce GTX 1650 Ti,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),3.909
ACER,"15.6"", 1920 x 1080px, 144Hz",Intel Core i5-11400H,16,1000 GB SSD,NVIDIA GeForce RTX 3050 Ti,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),5.199
HP,"14"", 1920 x 1080px, 60Hz",AMD Ryzen 5 5500U,16,512 GB SSD,AMD Radeon Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),3.599
LENOVO,"17.3"", 1600 x 900px",AMD Ryzen 3 3250U,4,256 GB SSD,AMD Radeon Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),2.099
LENOVO,"17.3"", 1600 x 900px, 60Hz",Intel Core i5-1135G7,8,512 GB SSD,Intel Iris Xe Graphics,Windows 10 Home,2.999
DELL,"14"", 1920 x 1080px, 60Hz",Intel Core i5-1135G7,16,512 GB SSD,Intel Iris Xe Graphics,Windows 10 Professional,3.999
HUAWEI,"14"", 1920 x 1080px",Intel Core i3-10110U,8,256 GB SSD,Intel UHD Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),2.499
LENOVO,"14"", 1920 x 1080px, 60Hz",AMD Ryzen 5 4500U,16,512 GB SSD,AMD Radeon Graphics,Brak,2.599
LENOVO,"15.6"", 1920 x 1080px, 60Hz",AMD Ryzen 3 3250U,4,256 GB SSD,AMD Radeon Graphics,Brak,1.599
ACER,"15.6"", 1920 x 1080px",Intel Pentium Silver N5030,8,256 GB SSD,Intel UHD Graphics,Windows 10 Professional (możliwość darmowej aktualizacji do Windows 11),2.099
DELL,"15.6"", 1920 x 1080px, 144Hz",Intel Core i7-10750H,16,1000 GB SSD,NVIDIA GeForce RTX 2070 Max-Q,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),7.699
DELL,"15.6"", 1920 x 1080px, 60Hz",Intel Core i5-10210U,8,256 GB SSD,Intel UHD Graphics,Windows 10 Professional (możliwość darmowej aktualizacji do Windows 11),4.599
DELL,"14"", 1920 x 1080px, Ekran dotykowy, 60Hz",Intel Core i5-1135G7,8,256 GB SSD,Intel Iris Xe Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),3.899
LENOVO,"14"", 1920 x 1080px",AMD Ryzen 5 4500U,16,512 GB SSD,AMD Radeon Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),3.699
ACER,"15.6"", 1920 x 1080px",Intel Core i7-10750H,32,1000 GB SSD,NVIDIA GeForce RTX 2080 Max-Q,Brak,9.299
LENOVO,"14"", 1920 x 1080px",AMD Ryzen 7 3700U,8,1000 GB SSD,AMD Radeon RX Vega 10,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),3.399
LENOVO,"13.3"", 1920 x 1080px, 60Hz",Intel Core i3-10110U,8,256 GB SSD,Intel UHD Graphics,Windows 10 Professional,3.899
DYNABOOK,"15.6"", 1920 x 1080px, 60Hz",Intel Core i3-1005G1,8,256 GB SSD,Intel UHD Graphics,Brak,1.999
ASUS,"15.6"", 1920 x 1080px, 144Hz",Intel Core i7-11370H,16,512 GB SSD,NVIDIA GeForce RTX 3070,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),6.699
LENOVO,"15.6"", 1920 x 1080px, 120Hz",AMD Ryzen 7 4800H,8,512 GB SSD,NVIDIA GeForce GTX 1650 Ti,Brak,4.199
ASUS,"13.3"", 1920 x 1080px, 60Hz",Intel Core i7-1165G7,16,512 GB SSD,Intel Iris Xe Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),5.299
ASUS,"15.6"", 1920 x 1080px, 60Hz",Intel Core i5-1135G7,16,512 GB SSD,Intel Iris Xe Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),3.699
MSI,"14"", 1920 x 1080px, 60Hz",Intel Core i7-1185G7,16,512 GB SSD,NVIDIA GeForce GTX 1650 Max-Q,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),5.299
HP,"15.6"", 1920 x 1080px, 144Hz",Intel Core i5-10300H,8,512 GB SSD,NVIDIA GeForce GTX 1660 Ti,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),4.399
LENOVO,"15.6"", 1920 x 1080px, 60Hz",AMD Ryzen 7 4800H,8,512 GB SSD,NVIDIA GeForce GTX 1650 Ti,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),4.149
ASUS,"14"", 1920 x 1080px, 144Hz",AMD Ryzen 7 5800HS,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),5.499
HP,"14"", 1920 x 1080px, 60Hz",Intel Core i5-1135G7,8,512 GB SSD,Intel Iris Xe Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),3.799
LENOVO,"15.6"", 1920 x 1080px, 144Hz",Intel Core i7-10750H,16,512 GB SSD,NVIDIA GeForce RTX 2070 Super Max-Q,Brak,7.099
ASUS,"15.6"", 1920 x 1080px, 144Hz",Intel Core i5-11400H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),4.899
LG ELECTRONICS POLSKA SP. Z O.O.,"17"", 2560 x 1600px, 60Hz",Intel Core i7-1165G7,16,512 GB SSD,Intel Iris Xe Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),6.199
ACER,"14"", 1920 x 1080px, Ekran dotykowy, 60Hz",Intel Celeron N4500,4,256 GB SSD,Intel UHD Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),2.849
ACER,"14"", 1920 x 1080px, Ekran dotykowy, 60Hz",Intel Pentium Silver N6000,8,256 GB SSD,Intel UHD Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),2.899
HP,"14"", 1920 x 1080px, 60Hz",AMD 3020e,4,128 GB SSD,AMD Radeon Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),1.999
ACER,"14"", 1920 x 1080px, Ekran dotykowy, 60Hz",Intel Celeron N4500,8,256 GB SSD,Intel UHD Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),2.749
LENOVO,"15.6"", 1920 x 1080px, 144Hz",Intel Core i7-10750H,16,512 GB SSD,NVIDIA GeForce RTX 2070 Super Max-Q,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),7.499
HUAWEI,"15.6"", 1920 x 1080px, 60Hz",Intel Core i5-10210U,16,512 GB SSD,Intel UHD Graphics 620,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),3.099
DELL,"14"", 1920 x 1080px",Intel Core i5-1035G1,8,256 GB SSD,Intel UHD Graphics,Windows 10 Professional (możliwość darmowej aktualizacji do Windows 11),3.999
DELL,"15.6"", 1920 x 1080px, 144Hz",Intel Core i7-10750H,16,512 GB SSD,NVIDIA GeForce RTX 2070 Super,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),12.999
ASUS,"14"", 1920 x 1080px, 120Hz",AMD Ryzen 7 4800HS,16,1000 GB SSD,NVIDIA GeForce RTX 2060 Max-Q,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),5.799
DELL,"14"", 1920 x 1080px, Ekran dotykowy, 60Hz",Intel Core i5-1035G1,8,512 GB SSD,Intel UHD Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),4.099
DELL,"14"", 1920 x 1080px, Dotykowy",Intel Core i5-1035G1,8,256 GB SSD,Intel UHD Graphics 620,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),3.879
HP,"15.6"", 1920 x 1080px, 60Hz",Intel Core i5-1135G7,8,512 GB SSD,Intel Iris Xe Graphics,Brak,3.099
ASUS,"15.6"", 1920 x 1080px, 60Hz",Intel Pentium N3700,4,1000 GB HDD,Intel HD Graphics,Brak,2.199
LENOVO,"15.6"", 1920 x 1080px, 144Hz",Intel Core i7-10750H,16,512 GB SSD,NVIDIA GeForce RTX 2070 Max-Q,Brak,6.099
LENOVO,"15.6"", 1920 x 1080px, 144Hz",Intel Core i7-10750H,8,1000 GB SSD,NVIDIA GeForce GTX 1650,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),4.699
ACER,"15.6"", 1920 x 1080px, 144Hz",Intel Core i7-10750H,16,512 GB SSD,NVIDIA GeForce RTX 2070 Max-Q,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),7.099
ASUS,"15.6"", 1920 x 1080px, 60Hz",Intel Core i5-1035G1,8,512 GB SSD,Intel UHD Graphics,Brak,1.999
ACER,"15.6"", 1920 x 1080px, 144Hz",Intel Core i7-10750H,16,1000 (x2) GB SSD,NVIDIA GeForce RTX 2070 Super Max-Q,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),8.539
DELL,"14"", 1920 x 1080px, Ekran dotykowy, 60Hz",Intel Core i5-1135G7,8,512 GB SSD,NVIDIA GeForce MX330,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),4.399
DELL,"15.6"", 1920 x 1080px, 60Hz",Intel Core i5-1135G7,8,512 GB SSD,Intel Iris Xe Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),2.899
DELL,"14"", 1920 x 1080px, Ekran dotykowy, 60Hz",Intel Core i5-1135G7,8,512 GB SSD,Intel Iris Xe Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),4.199
ACER,"15.6"", 1920 x 1080px, 60Hz",Intel Core i5-10300H,8,512 GB SSD,NVIDIA GeForce GTX 1650 Ti,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),4.699
LENOVO,"14"", 1920 x 1080px, 60Hz",AMD Athlon Silver 3050U,8,512 GB SSD,AMD Radeon Graphics,Brak,1.499
ASUS,"14"", 1920 x 1080px",AMD Ryzen 3 3250U,4,256 GB SSD,AMD Radeon Graphics,Windows 10 S (możliwość darmowej aktualizacji do Windows 11),1.729
HP,"16.1"", 1920 x 1080px, 144Hz",Intel Core i5-10300H,8,512 GB SSD,NVIDIA GeForce GTX 1650,Brak,3.899
HP,"15.6"", 1920 x 1080px, 60Hz",AMD Ryzen 3 3200U,8,256 GB SSD,AMD Radeon Vega 3,Brak,2.499
HP,"16.1"", 1920 x 1080px, 60Hz",Intel Core i5-10300H,8,512 GB SSD,NVIDIA GeForce GTX 1650,Brak,4.049
DELL,"13.3"", 3840 x 2160px, Ekran dotykowy, 60Hz",Intel Core i7-1165G7,16,512 GB SSD,Intel Iris Xe Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),6.899
HUAWEI,"13"", 2160 x 1440px, 60Hz",AMD Ryzen 5 3500U,8,512 GB SSD,AMD Radeon Vega 8,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),3.299
DELL,"14"", 1920 x 1080px, 60Hz",Intel Core i3-1115G4,4,256 GB SSD,Intel UHD Graphics,Windows 10 S (możliwość darmowej aktualizacji do Windows 11),3.199
ASUS,"15.6"", 1920 x 1080px, 60Hz",Intel Core i5-8265U,8,512 GB SSD,Intel UHD Graphics 620,Windows 10 Home,2.999
DELL,"15.6"", 1366 x 768px, 60Hz",Intel Pentium Gold 5405U,4,1000 GB HDD,Intel UHD Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),1.299
DELL,"13.4"", 1920 x 1080px, Ekran dotykowy, 60Hz",Intel Core i7-1065G7,16,512 GB SSD,Intel Iris Plus Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),7.199
ASUS,"15.6"", 1920 x 1080px, 144Hz",Intel Core i7-11370H,16,512 GB SSD,NVIDIA GeForce RTX 3070,Brak,6.599
LENOVO,"14"", 1920 x 1080px, 60Hz",AMD Ryzen 3 3200U,4,128 GB SSD,AMD Radeon Vega 3,Windows 10 S,2.299
LENOVO,"14"", 1920 x 1080px, 60Hz",AMD Ryzen 5 4500U,16,512 GB SSD,AMD Radeon Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),2.999
APPLE,"13.3"", 2560 x 1600px",Intel Core i5-1030NG7,8,512 GB SSD,Intel Iris Plus Graphics,macOS Catalina,5.499
APPLE,"13.3"", 2560 x 1600px",Intel Core i3-1000NG4,8,256 GB SSD,Intel Iris Plus Graphics,macOS Catalina,4.699
LENOVO,"14"", 1920 x 1080px, 60Hz",Intel Core i5-10210U,8,256 GB SSD,Intel UHD Graphics,Windows 10 Professional (możliwość darmowej aktualizacji do Windows 11),4.499
MSI,"17.3"", 1920 x 1080px, 144Hz",Intel Core i5-10300H,8,512 GB SSD,NVIDIA GeForce GTX 1650 Ti,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),4.399
HUAWEI,"13"", 2160 x 1440px, Dotykowy",Intel Core i7-10510U,16,512 GB SSD,NVIDIA GeForce MX250,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),4.879
ACER,"11.6"", 1366 x 768px, Dotykowy",Intel Celeron N4000,4,64 GB Flash,Intel UHD Graphics 600,Windows 10 S (możliwość darmowej aktualizacji do Windows 11),1.219
MICROSOFT,"10.5"", 1920 x 1280px, Ekran dotykowy",Intel Pentium Gold 4425Y,8,128 GB SSD,Intel UHD Graphics 615,Windows 10 S (możliwość darmowej aktualizacji do Windows 11),2.299
DELL,"15.6"", 1920 x 1080px",Intel Core i7-10750H,16,1000 GB SSD,NVIDIA GeForce RTX 2060,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),7.899
ASUS,"14"", 1920 x 1080px, 120Hz",AMD Ryzen 7 4800HS,16,512 GB SSD,NVIDIA GeForce GTX 1660 Ti Max-Q,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),6.059
MICROSOFT,"10.5"", 1920 x 1280px, Ekran dotykowy",Intel Pentium Gold 4425Y,8,128 GB SSD,Intel UHD Graphics 615,Windows 10 S (możliwość darmowej aktualizacji do Windows 11),2.899
TECHBITE,"11.6"", 1920 x 1080px, Dotykowy",Intel Celeron N4000,4,64 GB SSD,Intel UHD Graphics 600,Windows 10 Professional,1.049
LG ELECTRONICS POLSKA SP. Z O.O.,"17.3"", 2560 x 1600px",Intel Core i7-1065G7,8,512 GB SSD,Intel Iris Plus Graphics,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),5.499
MICROSOFT,"10"", 1800 x 1200px, Dotykowy",Intel Pentium Gold 4415Y,8,128 GB SSD,Intel HD Graphics 615,Windows 10 S (możliwość darmowej aktualizacji do Windows 11),2.079
HP,"14"", 1920 x 1080px, 60Hz",Intel Core i3-1005G1,8,256 GB SSD,Intel UHD Graphics,Windows 10 Home,
MSI,"15.6"", 1920 x 1080px, 144Hz",Intel Core i7-11800H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,Brak,
ASUS,"15.6"", 1920 x 1080px",AMD Ryzen 5 3500U,4,256 GB SSD,AMD Radeon Vega 8,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),2.549
ASUS,"15.6"", 2560 x 1440px, 240Hz",32,1000 GB SSD,NVIDIA GeForce RTX 3080,Windows 11 Home,3.8 - 5.0,
LENOVO,"15.6"", 1920 x 1080px",Intel Core i5-10210U,8,512 GB SSD,Intel UHD Graphics,Windows 10 Professional (możliwość darmowej aktualizacji do Windows 11),2.999
ACER,"15.6"", 1920 x 1080px, 144Hz",Intel Core i7-9750H,16,1000 GB SSD,NVIDIA GeForce RTX 2060,Windows 10 Home (możliwość darmowej aktualizacji do Windows 11),6.399
ASUS,"11.6"", 1366 x 768px, 60Hz",Intel Celeron N4020,4,64 GB Flash,Intel UHD Graphics 600,Windows 11 Home S,
MSI,"17.3"", 1920 x 1080px, 144Hz",Intel Core i5-11400H,8,512 GB SSD,NVIDIA GeForce RTX 3050,Brak,
ASUS,"14"", 2560 x 1600px, 60Hz",Intel Core i5-11300H,16,512 GB SSD,NVIDIA GeForce GTX 1650,Windows 10 Home,2.273
